price,meters,rooms,Fix_zone,Fix_place_type,Fix_operation,currency,subzone1,subzone2,subzone3,Date,Urls
120000,85,3,Bsas Gba Norte,casa,alquiler,$,Vicente Lopez,Vicente López, Carapachay,2023/01/07,https://casa.mercadolibre.com.ar/MLA-1302508566-casa-3-ambientes-c-cochera-carapachay-_JM
70000,30,3,Bsas Gba Norte,casa,alquiler,$,General San Martin,General San Martín, Villa Coronel José M. Zapiola,2023/01/07,https://casa.mercadolibre.com.ar/MLA-1302133605-casa-con-detalles-de-categoria-en-barrio-sarmiento-4-cuadras-de-av-marquez-_JM
60000,60,2,Bsas Gba Norte,casa,alquiler,$,Pilar,Pilar, Argentina,2023/01/07,https://casa.mercadolibre.com.ar/MLA-1301675069-casa-2-ambientes-en-alquiler-la-lonja-pilar-_JM
98000,40,2,Bsas Gba Norte,ph,alquiler,$,San Isidro,San Isidro,Av. Cura Allievi 1600,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1299156783-alquiler-de-ph-2-ambientes-cparrilla-en-boulogne-_JM
70000,75,3,Bsas Gba Norte,ph,alquiler,$,San Isidro,San Isidro, Villa Adelina,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1297535026-ph-villa-adelina-_JM
95000,80,3,Bsas Gba Norte,ph,alquiler,$,Vicente Lopez,Vicente López, Olivos,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1300997083-alquiler-ph-3-ambientes-olivos-_JM
140000,60,3,Bsas Gba Norte,ph,alquiler,$,San Isidro,San Isidro, Martínez,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1297536004-ph-2-dormitorios-alquiler-mart-santa-fefleming-_JM
160000,84,3,Bsas Gba Norte,ph,alquiler,$,Vicente Lopez,Vicente López, Olivos,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1299668963-excelente-ph-tipo-casa-a-estrenar-en-complejo-3-ambientes-cochera-olivos-_JM
50000,85,3,Bsas Gba Norte,ph,alquiler,$,General San Martin,General San Martín, Villa José León Suárez,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1299968705-casa-jose-leon-suarez-_JM
280000,139,5,Bsas Gba Norte,ph,alquiler,$,San Isidro,San Isidro, Martínez,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1297823750-departamento-ph-en-alquiler-ubicado-en-martinez-san-isidro-gba-zona-norte-_JM
